No.,診療所名,診療所名_カナ,医療機関の種類,所在地,電話番号,診療科目,病床数,緯度,経度,
24,特別養護老人ホームすみれ荘医務室,,一般診療所,福井県福井市島寺町 83-1,0776-98-5550,内科,0,36.01732604,136.1422772,
25,特別養護老人ホームこしの渚苑医務室,,一般診療所,福井県福井市蒲生町 1-90-1,0776-89-2110,内科,0,36.03816989,136.0112148,
26,介護老人福祉施設第二ひかり苑泉の郷医務室,,一般診療所,福井県福井市今泉町 25字15-1,0776-52-1300,内科,0,36.06801596,136.2534673,
27,小規模特別養護老人ホーム花むつ苑医務室,,一般診療所,福井県福井市花堂中 1丁目5-6,0776-34-8762,内科,0,36.03895706,136.2154647,
28,松本ホームやわらぎ医務室,,一般診療所,福井県福井市松本 1丁目2-19,0776-26-4165,内科,0,36.07160436,136.2325103,
29,地域密着型介護老人福祉施設東安居苑医務室,,一般診療所,福井県福井市大瀬町 23字101番,0776-35-0838,内科,0,36.0696916,136.1851543,
30,特別養護老人ホームたぶのき苑診療所,,一般診療所,福井県福井市大願寺 3丁目3-6,0776-27-4140,内科,0,36.08166531,136.228189,
31,全国土木建築国民健康保険組合関西健康管理センター,,一般診療所,福井県福井市問屋町 3-304 大鉄工業㈱北陸支店福井出張所内,06-6942-6411,内科、放射線科,0,36.05332806,136.2530024,
32,特別養護老人ホーム第２藤島園そよかぜホーム医務室,,一般診療所,福井県福井市河合勝見町 4号24-1,0776-55-1313,内科、外科,0,36.11293717,136.2001688,
33,あるば・あい,,一般診療所,福井県福井市日之出 3丁目16-18 特別養護老人ホーム「あるば・あい」医務室,0776-21-0181,内科、循環器内科、糖尿病内科,0,36.06160326,136.2299524,
34,アイクリニックおおて,アイクリニックオオテ,一般診療所,福井県福井市大手 3丁目1-6,0776-22-1508,眼科,0,36.06280205,136.2206566,
35,青山クリニック,アオヤマクリニック,一般診療所,福井県福井市宝永 1丁目38-15,0776-25-7080,内科、循環器内科、皮膚科、アレルギー科、小児科、形成外科,0,36.07081194,136.2309561,
36,赤井内科呼吸器クリニック,アカイナイカコキュウキクリニック,一般診療所,福井県福井市松本 2-4-16,0776-21-0061,内科、呼吸器内科、循環器科,0,36.0713648,136.2262116,
37,あすわクリニック,アスワクリニック,一般診療所,福井県福井市下馬 3丁目511番地,0776-34-3600,内科、糖尿病内科、小児科、外科、眼科,19,36.03770184,136.2322631,
38,麻生津医院,アソウヅイイン,一般診療所,福井県福井市浅水二日町 128-43,0776-38-3388,内科、呼吸器内科、小児科、外科,0,36.00397213,136.1982877,
39,安土整形外科医院,アヅチセイケイゲカイイン,一般診療所,福井県福井市中央 2丁目7-19,0776-25-3545,内科、リウマチ科、脳神経外科、整形外科、リハビリテーション科,19,36.05916639,136.2182209,
40,あらい内科クリニック,アライナイカクリニック,一般診療所,福井県福井市高柳 2丁目1301番地 レインボービル5F,0776-54-8334,内科、循環器内科,0,36.09771115,136.246783,
41,荒川整形外科医院,アラカワセイケイゲカイイン,一般診療所,福井県福井市高木町 第51号8番地,0776-54-6681,リウマチ科、整形外科、リハビリテーション科,0,36.09429711,136.2305068,
42,有塚医院,アリツカイイン,一般診療所,福井県福井市和田東２丁目１８２０,0776-24-6060,内科、消化器内科、肝臓内科、その他の科(内視鏡内科),0,36.04987827,136.2501214,
43,生田医院,イクタイイン,一般診療所,福井県福井市西木田 2-4-14,0776-36-2891,内科、小児科,0,36.05282613,136.2144525,
44,石黒眼科クリニック,イシグロガンカクリニック,一般診療所,福井県福井市二の宮 4丁目9-28,0776-24-1496,眼科,0,36.08375914,136.2137126,
45,いそまつ医院,イソマツイイン,一般診療所,福井県福井市中央 3-6-14,0776-22-6565,眼科,0,36.06354672,136.2129594,
46,いとう内科クリニック,イトウナイカクリニック,一般診療所,福井県福井市経田 1丁目209,0776-27-5040,内科、神経内科,0,36.08816697,136.2212687,
47,いなだクリニック,イナダクリニック,一般診療所,福井県福井市木田 2丁目1613,0776-34-8111,内科、外科、整形外科、消化器科、こう門科、耳鼻いんこう科,0,36.04519284,136.2241727,
48,井本耳鼻咽喉科医院,イモトジビインコウカイイン,一般診療所,福井県福井市文京 6丁目17番25号,0776-24-3303,アレルギー科、耳鼻いんこう科,0,36.07608041,136.2015277,
49,医療法人石黒耳鼻咽喉科医院,イリョウホウジンイシグロジビインコウカイイン,一般診療所,福井県福井市大手 2丁目15-15,0776-25-3387,アレルギー科、耳鼻いんこう科,0,36.06666086,136.2253013,
50,医療法人英和会　貴志医院,イリョウホウジンエイワカイ　キシイイン,一般診療所,福井県福井市市波町 24-3,0776-96-4012,内科、小児科、精神科、心療内科,0,36.01818389,136.3288466,
51,医療法人駅東整形外科,イリョウホウジンエキヒガシセイケイゲカ,一般診療所,福井県福井市日之出 2丁目12-2,0776-27-2500,リウマチ科、整形外科、リハビリテーション科,19,36.06297375,136.2267881,
52,医療法人　大橋整形外科医院,イリョウホウジンオオハシセイケイゲカイイン,一般診療所,福井県福井市二の宮 3丁目38-20,0776-25-0099,リウマチ科、整形外科、リハビリテーション科,0,36.08761907,136.2170449,
53,医療法人かさまつファミリークリニック,イリョウホウジンカサマツファミリークリニック,一般診療所,福井県福井市高木中央 3丁目801番地,0776-88-0088,内科、呼吸器内科、アレルギー科,0,36.08923073,136.2381658,
54,医療法人久保田内科医院,イリョウホウジンクボタナイカイイン,一般診療所,福井県福井市大宮 3丁目11-25,0776-26-1655,内科、呼吸器科、消化器科、循環器科,19,36.08135405,136.2137851,
55,医療法人元和会野村内科医院,イリョウホウジンゲンワカイノムラナイカイイン,一般診療所,福井県福井市上中町 36-8,0776-53-8568,内科、小児科、消化器科、循環器科,0,36.08150175,136.2670558,
56,医療法人　佐藤内科医院,イリョウホウジンサトウナイカイイン,一般診療所,福井県福井市御幸 3-2-1,0776-23-4014,内科、呼吸器科、消化器科,0,36.05606386,136.234524,
57,医療法人社団　畑内科,イリョウホウジンシャダン　ハタナイカ,一般診療所,福井県福井市下森田新町501番地,0776-56-0210,内科、消化器内科、小児科、その他の科(内視鏡内科),0,36.10960426,136.2314903,
58,医療法人社団　響　二の宮クリニック,イリョウホウジンシャダンヒビキニノミヤクリニック,一般診療所,福井県福井市大宮 3丁目31-37,0776-28-3800,内科、消化器内科、外科,0,36.08286999,136.2152149,
59,医療法人清風会　吉田医院,イリョウホウジンセイフウカイ　ヨシダイイン,一般診療所,福井県福井市順化 1丁目8-1,0776-22-1233,内科、アレルギー科、リウマチ科、小児科、外科、整形外科、リハビリテーション科、麻酔科、胃腸科、こう門科,19,36.06388522,136.2157167,
60,医療法人地水火風　たなか整形外科・眼科,イリョウホウジンチスイカフウ　タナカセイケイゲカガンカ,一般診療所,福井県福井市種池 1丁目101,0776-35-9299,リウマチ科、整形外科、眼科、リハビリテーション科,0,36.03630679,136.1928451,
61,医療法人南後眼科医院,イリョウホウジンナンゴガンカイイン,一般診療所,福井県福井市大手３丁目７-１　繊協ビル２階,0776-22-1836,眼科,0,36.06320724,136.2181264,
62,医療法人はまなかクリニック,イリョウホウジンハマナカクリニック,一般診療所,福井県福井市南四ツ居 1丁目10番11号,0776-63-5550,内科、外科,0,36.06289106,136.2445949,
63,医療法人邦高会　たかさわ内科クリニック,イリョウホウジンホウコウカイ　タカサワナイカクリニック,一般診療所,福井県福井市春日町２３７番地１,0776-35-0100,内科、循環器内科、糖尿病内科,0,36.04983875,136.2205168,
64,医療法人宮﨑整形外科医院,イリョウホウジンミヤザキセイケイゲカイイン,一般診療所,福井県福井市加茂河原 3丁目8-6,0776-33-1111,内科、リウマチ科、脳神経外科、整形外科、形成外科、リハビリテーション科,19,36.06250684,136.1921028,
65,岩佐内科外科クリニック,イワサナイカゲカクリニック,一般診療所,福井県福井市学園 2丁目9-6,0776-28-0666,内科、外科、整形外科、リハビリテーション科、麻酔科、呼吸器科、胃腸科、こう門科,0,36.06947273,136.1976959,
66,いわほり小児科医院,イワホリショウニカイイン,一般診療所,福井県福井市水越 1-606,0776-35-3321,小児科,0,36.06610171,136.1899416,
67,宇賀治医院,ウガジイイン,一般診療所,福井県福井市田原 2丁目6-11,0776-23-2695,内科、小児科、外科、整形外科、呼吸器科、胃腸科、循環器科、皮膚泌尿器科,0,36.07173718,136.2132058,
68,打波外科胃腸科婦人科,ウチナミゲカイチョウカフジンカ,一般診療所,福井県福井市文京 7丁目10-2,0776-26-7171,内科、外科、婦人科、胃腸科、こう門科,19,36.07609856,136.1948325,
69,エミナルクリニック福井院,エミナルクリニックフクイイン,一般診療所,福井県福井市大手３丁目４番１号　福井放送会館地下１階,0776-50-6983,その他の科(美容皮膚科),0,36.06294313,136.2197308,
70,Ｍクリニック,エムクリニック,一般診療所,福井県福井市石盛１－１８１６,0776-56-4656,内科、小児科、整形外科、リハビリテーション科,0,36.1155905,136.2303483,
71,往診クリニックふくい,オウシンクリニックフクイ,一般診療所,福井県福井市西谷 2丁目2704番地 エスパンドル103号,0776-36-1811,内科、呼吸器内科,0,36.03949792,136.2010643,
72,大久保外科内科,オオクボゲカナイカ,一般診療所,福井県福井市西木田 2-11-8,0776-36-6268,内科、循環器内科、アレルギー科、外科、整形外科、呼吸器科、消化器科,0,36.05281164,136.2128001,
73,大滝クリニック,オオタキクリニック,一般診療所,福井県福井市大願寺 3丁目9-3,0776-27-0021,内科、呼吸器内科、循環器内科、外科、肛門外科、整形外科、胃腸内科,0,36.08435625,136.2283278,
74,大滝東クリニック,オオタキヒガシクリニック,一般診療所,福井県福井市日光 1丁目1-1,0776-26-2330,内科、アレルギー科、小児科、精神科,0,36.07133552,136.2039637,
75,大森整形外科リウマチ科,オオモリセイケイゲカリウマチカ,一般診療所,福井県福井市北四ツ居 3-１4-12,0776-57-5000,内科、リウマチ科、脳神経外科、整形外科、リハビリテーション科,19,36.06761481,136.2457744,
76,大山クリニック,オオヤマクリニック,一般診療所,福井県福井市西方２丁目１９番３号,0776-29-0080,内科、泌尿器科、その他の科(人工透析内科),0,36.05234495,136.2391871,
77,大和田アイクリニック,オオワダアイクリニック,一般診療所,福井県福井市大和田２丁目１３０１番地,0776-57-2877,眼科,0,36.09460445,136.2517938,
78,おおわだ眼科,オオワダガンカ,一般診療所,福井県福井市大和田 2丁目1212 フェアモール福井エルパ2階,0776-97-9398,眼科,0,36.09573502,136.250306,
79,岡田形成外科皮フ科クリニック,オカダケイセイゲカヒフカクリニック,一般診療所,福井県福井市大東 1丁目6-38,0776-52-1158,皮膚科、形成外科、美容外科,0,36.06422547,136.2518407,
80,おかもと内科クリニック,オカモトナイカクリニック,一般診療所,福井県福井市大島町柳 212,0776-35-3331,内科,0,36.03404424,136.207537,
81,奥村整形外科クリニック,オクムラセイケイゲカクリニック,一般診療所,福井県福井市乾徳 3丁目11-23,0776-28-1550,リウマチ科、整形外科、リハビリテーション科,0,36.07358552,136.2072131,
82,オレンジホームケアクリニック,オレンジホームケアクリニック,一般診療所,福井県福井市田原 1丁目2-20,0776-21-3333,内科、小児科,0,36.07116488,136.2170909,
83,開発整形外科眼科,カイホツセイケイゲカガンカ,一般診療所,福井県福井市開発町 24-15-1,0776-54-5588,リウマチ科、整形外科、眼科、リハビリテーション科,0,36.08224997,136.2439209,
84,かさはら小児科,カサハラショウニカ,一般診療所,福井県福井市大和田 2丁目205番地,0776-53-2660,内科、小児科,0,36.09588675,136.2472721,
85,笠松内科クリニック,カサマツナイカクリニック,一般診療所,福井県福井市下馬 2丁目508,0776-33-1100,内科、皮膚科、小児科,0,36.04203509,136.2367268,
86,柏原脳神経クリニック,カシハラノウシンケイクリニック,一般診療所,福井県福井市四ツ井 1丁目7-20,0776-54-3455,神経内科、脳神経外科,0,36.06620745,136.236163,
87,片山整形外科,カタヤマセイケイゲカ,一般診療所,福井県福井市江端町 13-15-4,0776-35-2400,リウマチ科、整形外科、リハビリテーション科,19,36.03212663,136.2133325,
88,加藤内科・婦人科クリニック,カトウナイカフジンカクリニック,一般診療所,福井県福井市志比口 1丁目10-28,0776-53-0053,内科、呼吸器内科、循環器内科、婦人科,0,36.06798616,136.233522,
89,門整形外科,カドセイケイゲカ,一般診療所,福井県福井市西開発 1丁目2405番地,0776-53-1700,リウマチ科、整形外科、リハビリテーション科,0,36.07646228,136.2377365,
90,加納医院,カノウイイン,一般診療所,福井県福井市毛矢 2-6-22,0776-35-2529,内科、皮膚科、小児科、麻酔科、その他の科,0,36.05860479,136.2145077,
91,加畑皮膚科医院,カバタヒフカイイン,一般診療所,福井県福井市中央 3丁目3-1,0776-21-6834,皮膚科,0,36.06249009,136.2159546,
92,眼科原医院,ガンカハライイン,一般診療所,福井県福井市大手 2-6-6,0776-27-5654,眼科,0,36.06280118,136.2221518,
93,木田整形外科,キダセイケイゲカ,一般診療所,福井県福井市木田 3丁目907,0776-36-0020,整形外科、リハビリテーション科,0,36.0446091,136.2239941,
94,木原クリニック,キハラクリニック,一般診療所,福井県福井市四ツ井 1丁目17-30 フジビルD,0776-50-1556,精神科、心療内科、神経科,0,36.06570923,136.2365584,
95,きむら耳鼻咽喉科,キムラジビインコウカ,一般診療所,福井県福井市若杉 4-609,0776-36-3387,アレルギー科、小児科、耳鼻いんこう科,0,36.05711291,136.1857981,
96,きんせんクリニック,キンセンクリニック,一般診療所,福井県福井市板垣 4丁目114,0776-63-6313,耳鼻いんこう科,0,36.04593701,136.2271151,
97,くろかわ医院,クロカワイイン,一般診療所,福井県福井市四ツ井 2丁目1番6号,0776-57-8770,アレルギー科、耳鼻いんこう科,0,36.06814112,136.2350363,
98,くわばら皮膚科クリニック,クワバラヒフカクリニック,一般診療所,福井県福井市城東 2丁目6-1,0776-27-6000,皮膚科、アレルギー科,0,36.06189511,136.2352779,
99,ケアラボクリニック,ケアラボクリニック,一般診療所,福井県福井市灯明寺３丁目３５１１,0776-21-3339,内科、小児科,0,36.097876,136.211764,
100,けやき在宅クリニック,ケヤキザイタククリニック,一般診療所,福井市照手町４丁目２２０４,080-5372-4154,内科,0,36.065422,136.204003,
101,県民健康センター診療所,ケンミンケンコウセンターシンリョウショ,一般診療所,福井県福井市真栗町 47-48,0776-98-8000,内科、婦人科,0,36.01480912,136.1394864,
102,光陽生協クリニック,コウヨウセイキョウクリニック,一般診療所,福井県福井市光陽 3丁目9-23,0776-24-3310,内科、呼吸器内科、循環器内科、消化器内科、皮膚科、アレルギー科、小児科、泌尿器科、眼科、脳神経外科,0,36.06577102,136.1959234,
103,こころとからだクリニック福井,ココロトカラダクリニックフクイ,一般診療所,福井県福井市新田塚2-32-16,0776-21-0556,内科、精神科、心療内科、その他の科(児童精神科),0,36.08905549,136.2038382,
104,こしの医院,コシノイイン,一般診療所,福井県福井市蒲生町 1-91-1,0776-89-2232,内科、外科、泌尿器科、リハビリテーション科,0,36.03869743,136.0110425,
105,コパクリニック,コパクリニック,一般診療所,福井県福井市大和田２-４２２,0776-54-3358,アレルギー科、耳鼻いんこう科,0,36.09471814,136.2478518,
106,こまつクリニック,コマツクリニック,一般診療所,福井県福井市高柳2丁目1301番地 レインボービル2階,0776-43-0558,精神科、心療内科,0,36.09771115,136.246783,
107,コモ小児診療所,コモショウニシンリョウショ,一般診療所,福井県福井市木田 3丁目910,0776-33-7360,小児科,0,36.04474473,136.2241764,
108,さいかわ泌尿器科クリニック,サイカワヒニョウキカクリニック,一般診療所,福井県福井市中央 2丁目1-35,0776-23-8348,内科、泌尿器科,0,36.05887097,136.220351,
109,斉木内科循環器科医院,サイキナイカジュンカンキカイイン,一般診療所,福井県福井市城東 2-8-11,0776-21-5000,内科、呼吸器科、胃腸科、循環器科,0,36.06095811,136.2356469,
110,齋藤眼科,サイトウガンカ,一般診療所,福井県福井市御幸 3丁目15-13,0776‐23‐2233,眼科,6,36.05450411,136.2381275,
111,齊藤クリニック,サイトウクリニック,一般診療所,福井県福井市宝永 4丁目3-9,0776-60-1212,内科、外科、胃腸科,0,36.06711305,136.2181644,
112,さいとう耳鼻咽喉科クリニック,サイトウジビインコウカクリニック,一般診療所,福井県福井市大宮 2丁目27-22,0776-24-4133,耳鼻いんこう科,0,36.08287809,136.2174288,
113,さくら通り整形外科クリニック,サクラドオリセイケイゲカクリニック,一般診療所,福井県福井市日之出４－１１－１７,0776-58-7138,整形外科、リハビリテーション科、内科,0,36.064387,136.233975,
114,佐藤整形形成外科,サトウセイケイケイセイゲカ,一般診療所,福井県福井市桃園 1-1-2,0776-35-5151,整形外科、形成外科、リハビリテーション科,19,36.0622185,136.203196,
115,佐部内科医院,サベナイカイイン,一般診療所,福井県福井市田原 2-18-10,0776-27-2255,内科、小児科,0,36.07236445,136.2127737,
116,耳鼻咽喉科・アレルギー科　たなかクリニック,ジビインコウカアレルギーカ　タナカクリニック,一般診療所,福井県福井市上森田 1丁目403番,0776-56-7733,アレルギー科、耳鼻いんこう科,0,36.11312389,136.227049,
117,島本眼科医院,シマモトガンカイイン,一般診療所,福井県福井市木田 2丁目1207,0776-34-5560,眼科,0,36.04516534,136.2224695,
118,清水診療所,シミズシンリョウショ,一般診療所,福井県福井市大森町 38-3,0776-98-3024,内科、小児科、外科、リハビリテーション科,0,36.02350933,136.1229889,
119,清水整形外科クリニック,シミズセイケイゲカクリニック,一般診療所,福井県福井市和田中 2丁目210,0776-28-6667,リウマチ科、整形外科、リハビリテーション科,0,36.04883925,136.2463483,
120,清水内科循環器医院,シミズナイカジュンカンキカイイン,一般診療所,福井県福井市足羽２丁目１番２２号,0776-36-3322,内科、呼吸器内科、循環器内科、消化器内科,0,36.061447,136.205575,
121,清水南医院,シミズミナミイイン,一般診療所,福井県福井市真栗町 38-3,0776-98-5113,内科、小児科、外科、消化器科,0,36.00782601,136.1503767,
122,社会福祉法人藤島会　特別養護老人ホーム藤島園医務室,シャカイフクシホウジンフジシマカイ　トクベツヨウゴロウジンホームフジシマエンイムシツ,一般診療所,福井県福井市高木中央３丁目１７０１番地,0776-52-1166,内科,0,36.09223048,136.2402595,
123,社会福祉法人弥生福祉会　愛寿苑医務室,シャカイフクシホウジンヤヨイカイ　アイジュエンイムシツ,一般診療所,福井県福井市若杉2丁目601番地,0776-34-5100,内科,0,36.05522467,136.1906854,
124,若越ひかりの村診療所,ジャクエツヒカリノムラシンリョウショ,一般診療所,福井県福井市島寺町第６７号３０番地　障害者支援施設「若越ひかりの村」内,0776-98-3600,精神科、外科,0,36.01839606,136.1398193,
125,湘南美容クリニック福井院,ショウナンビヨウヒリニックフクイイン,一般診療所,福井県福井市中央１丁目１０番３０号　アクロスキューブ福井中央２階,050-3773-7247,美容外科、美容皮膚科,0,36.061614,136.221073,
126,シン内視鏡・外科クリニック,シンナイシキョウゲカクリニック,一般診療所,福井県福井市西方１－１－７,0776-50-7330,外科、その他の科(内視鏡内科、内視鏡外科),0,36.05431579,136.234728,
127,神野美容形成外科クリニック,ジンノビヨウケイセイゲカクリニック,一般診療所,福井県福井市下馬3-1817,0120-730-012,形成外科、美容外科、その他の科(美容皮膚科),0,36.03943947,136.236649,
128,末松内科循環器科医院,スエマツナイカジュンカンキカイイン,一般診療所,福井県福井市文京 6丁目34-11,0776-28-1001,内科、呼吸器科、循環器科,0,36.07862444,136.1976999,
129,杉本リウマチ内科クリニック,スギモトリウマチナイカクリニック,一般診療所,福井県福井市舟橋新 2丁目109,0776-30-0022,内科、リウマチ科,0,36.09792039,136.2074586,
130,すこやか内科クリニック,スコヤカナイカクリニック,一般診療所,福井県福井市文京６丁目２５番２７号,0776-24-5125,内科、循環器内科、消化器内科、糖尿病内科、代謝内科,0,36.07705063,136.2003924,
131,すすき耳鼻咽喉科,ススキジビインコウカ,一般診療所,福井県福井市大東 1丁目1-5,0776-54-1133,アレルギー科、耳鼻いんこう科,0,36.06394694,136.2492074,
132,すなが耳鼻咽喉科,スナガジビインコウカ,一般診療所,福井県福井市舟橋黒竜2-207,0776-28-3387,耳鼻いんこう科,0,36.09888031,136.212859,
133,全国土木建築国民健康保険組合　中部健康管理センター　福井医務室,ゼンコクドボクケンチクコクミンケンコウホケンクミアイ　チュウブケンコウカンリセンター,一般診療所,福井県福井市日之出 3-2-1 村中建設（株）内,0776-22-0845,内科,0,36.06269065,136.2291813,
134,育ちのクリニック津田,ソダチノクリニックツダ,一般診療所,福井県福井市江端町第６号４８番地,0776-97-6119,アレルギー科、小児科,0,36.0286425,136.2156844,
135,大名町スキンクリニック,ダイミョウマチスキンクリニック,一般診療所,福井県福井市手寄１－４－１ＡＯＳＳＡ　２階,0776-22-8803,皮膚科、その他の科(美容皮膚科),0,36.06057816,136.2234614,
136,高木北クリニック,タカギキタクリニック,一般診療所,福井県福井市高木北 1丁目301,0776-53-8600,内科、小児科、外科、呼吸器科、循環器科,0,36.09855471,136.2307717,
137,たかしま皮膚科クリニック,タカシマヒフカクリニック,一般診療所,福井県福井市二の宮４丁目13-13,0776-27-5566,皮膚科,0,36.08401847,136.2125301,
138,多賀内科循環器科医院,タガナイカジュンカンキカイイン,一般診療所,福井県福井市二の宮 4丁目2-6,0776-27-0888,内科、呼吸器科、循環器科,0,36.08314163,136.2132585,
139,高波耳鼻咽喉科医院,タカナミジビインコウカイイン,一般診療所,福井県福井市荒木新保町 52-10-1,0776-41-3800,耳鼻いんこう科,3,36.02914843,136.2736117,
140,髙橋眼科医院,タカハシガンカイイン,一般診療所,福井県福井市福新町 813,0776-37-4113,眼科,0,36.048543,136.184197,
141,高橋クリニック,タカハシクリニック,一般診療所,福井県福井市文京 3丁目24番12号,0776-27-2320,内科、呼吸器科、循環器科,0,36.07986335,136.2094917,
142,高柳眼科,タカヤナギガンカ,一般診療所,福井県福井市石盛1丁目823,0776-56-4040,眼科,0,36.11625414,136.228098,
143,竹内医院,タケウチイイン,一般診療所,福井県福井市花堂北 2-12-28,0776-36-1035,内科、外科、整形外科、胃腸科、こう門科,0,36.04025371,136.2135697,
144,たけうちクリニック,タケウチクリニック,一般診療所,福井県福井市乾徳 1丁目1-17,0776-23-1212,内科、精神科、心療内科,0,36.07174455,136.2122772,
145,田中内科クリニック,タナカナイカクリニック,一般診療所,福井県福井市若杉 4丁目512,0776-36-8855,内科、消化器内科、その他の科(肝臓内科),0,36.05761667,136.1857875,
146,田中皮フ科医院,タナカヒフカイイン,一般診療所,福井県福井市文京 1-16-9,0776-22-6677,皮膚科,0,36.07676541,136.2236963,
147,谷口医院,タニグチイイン,一般診療所,福井県福井市天王町 20-41,0776-41-1013,内科、小児科、外科、こう門科,0,36.02757959,136.2333025,
148,玉井内科クリニック,タマイナイカクリニック,一般診療所,福井県福井市下荒井町 4-74-15,0776‐39‐1200,内科、小児科、呼吸器科、循環器科,0,36.02703982,136.2067258,
149,たわらまち整形外科・内科クリニック,タワラマチセイケイゲカナイカクリニック,一般診療所,福井県福井市文京 2丁目1番15号,0776-22-2666,内科、呼吸器内科、循環器内科、消化器内科、糖尿病内科、リウマチ科、外科、消化器外科、肛門外科、整形外科、リハビリテーション科、代謝内科、その他の科(内分泌内科、脂質代謝内科),0,36.07515627,136.2174754,
150,たんぽぽ苑　医務室,タンポポエン　イムシツ,一般診療所,福井県福井市石盛３丁目３０１,0776-56-0992,内科,0,36.11862203,136.2367332,
151,地域密着型介護老人福祉施設桜手苑医務室,チイキミッチャクガタカイゴロウジンフクシシセツオウテエンイムシツ,一般診療所,福井県福井市大手2-22-18,0776-26-7070,内科、歯科,0,36.0664834,136.2235007,
152,地域密着型特別養護老人ホームあたご医務室,チイキミッチャクガタトクベツヨウゴロウジンホームアタゴイムシツ,一般診療所,福井県福井市足羽5-5-16,0776-33-7080,内科,0,36.05798325,136.198771,
153,長保会　吉水整形外科医院,チョウホカイ　ヨシミズセイケイゲカイイン,一般診療所,福井県福井市舟橋新１丁目１１０８番地,0776-24-6677,リウマチ科、整形外科、リハビリテーション科,19,36.09911617,136.2108486,
154,辻医院,ツジイイン,一般診療所,福井県福井市宝永 １丁目9-13,0776-22-0597,胃腸内科,0,36.06715116,136.2285282,
155,つながるクリニック,ツナガルクリニック,一般診療所,福井県福井市二の宮2丁目25-8,0776-27-1550,内科、小児科,1,36.086931,136.223317,
156,坪川医院,ツボカワイイン,一般診療所,福井県福井市御幸 2丁目20番25号,0776-21-7373,アレルギー科、耳鼻いんこう科、気管食道科,0,36.05622658,136.2337772,
