No.,児童クラブ名,所在地,地区,電話番号,緯度,経度,
33,くるみ児童クラブ,福井市若杉4-2102　くるみ児童館内,社北,35-8020,36.05799,136.184629,
34,社児童クラブ,福井市下江守町22-18　社西小学校内,社西,35-9697,36.048171,136.176855,
35,社第２児童クラブ,福井市下江守町22-18　社西小学校内,社西,35-9697,36.048171,136.176855,
36,あさがお児童クラブ,福井市浅水二日町28-5　麻生津小学校内,麻生津,39-1607,36.002321,136.198216,
37,和田児童クラブ,福井市和田東1-1504　旧和田公民館内,和田,43-0850,36.052285,136.245479,
38,和田第２児童クラブ,福井市勝見3-20-12　いちごの森内,和田,27-7730,36.053658,136.23395,
39,たんぽぽ児童クラブ,福井市和田1-7-26　たんぽぽ児童館内,和田,30-0335,36.051437,136.241538,
40,円山なごみ児童クラブ第1教室,福井市北四ツ井3-15-17　円山小学校内,円山,53-1753,36.068675,136.247279,
41,円山なごみ児童クラブ第2教室,福井市北四ツ井3-15-17　円山小学校内,円山,53-1753,36.068675,136.247279,
42,どんぐり児童クラブ,福井市北四ツ井2-7-14　どんぐり児童館内,円山,52-8800,36.066578,136.245121,
43,ハーツきっず啓蒙児童クラブ,福井市開発1-1008　啓蒙小学校内,啓蒙,090-1631-4522,36.077112,136.240574,
44,もみじ児童クラブ,福井市新保1-920　もみじ児童館内,啓蒙,52-3146,36.082254,136.246985,
45,岡保児童クラブ,福井市河水町18-8　岡保小学校内,岡保,52-0703,36.051606,136.273319,
46,さくらんぼ児童クラブ,福井市藤島町44-8　東藤島小学校内,東藤島,52-1561,36.086555,136.271837,
47,つくし児童クラブ,福井市西堀町8-107　つくし児童館内,西藤島,22-0131,36.081821,136.190937,
48,のびっ子クラブ中藤,福井市高柳3-3001　中藤小学校内,中藤島,090-3936-5613,36.097284,136.24124,
49,のびっ子クラブ中藤第２,福井市高柳3-3001　中藤小学校内,中藤島,080-8698-1070,36.097284,136.24124,
50,のびっ子クラブ中藤第３,福井市高柳3-3001　中藤小学校内,中藤島,090-3936-5613,36.097284,136.24124,
51,ふじ児童クラブ,福井市髙木北2-1106　ふじ児童館内,中藤島,53-5240,36.099587,136.233387,
52,河合児童クラブ,福井市山室町10-12　河合小学校内,河合,080-1961-6867,36.119417,136.193302,
53,森田児童クラブ,福井市八重巻中町29-3　八重巻公会堂内,森田,080-1984-7175,36.105512,136.222236,
54,森田第２児童クラブ,福井市下森田新町1143　森田会館内,森田,090-6274-2238,36.107976,136.232532,
55,森田第３児童クラブ,福井市下森田新町1136　森田小学校内,森田,090-7086-7090,36.107967,136.231089,
56,森田第４児童クラブ,福井市下森田新町1136　森田小学校内,森田,090-7086-7090,36.107967,136.231089,
57,森田第５児童クラブ,福井市下森田新町1136　森田小学校内,森田,090-7086-7090,36.107967,136.231089,
58,森田さくら児童クラブ,福井市上野本町4丁目2408　森田さくらこども園内,森田,56-0057,36.113331,136.247634,
59,すみれ児童クラブ,福井市上野本町2-1302　すみれ児童館内,森田,56-4460,36.109937,136.237402,
60,はるかぜ児童クラブ,福井市栗森2丁目2711,森田,50-1818,36.117382,136.239883,
61,わかば児童クラブ,福井市灯明寺1-1801　旧明新公民館内,明新,22-1872,36.091009,136.211404,
62,わかば第２児童クラブ,福井市灯明寺1-1801　旧明新公民館内,明新,22-1872,36.091009,136.211404,
63,わかば第３なかよし児童クラブ,福井市灯明寺1-2101　明新小学校内,明新,65-2204/090-2378-5720,36.091523,136.21285,
64,わかば第４なかよし児童クラブ,福井市灯明寺1-2101　明新小学校内,明新,65-2204/090-2378-5720,36.091523,136.21285,
65,すいせん児童クラブ,福井市 灯明寺2-2109　すいせん児童館内 ,明新,29-2050,36.093179,136.213897,
66,安居児童クラブ,福井市本堂町4-12　安居小学校内,安居,37-1311,36.06145,136.134627,
67,越廼児童クラブ,福井市茱崎町1-68　越廼公民館内,越廼,080-6357-2669,36.039223,136.012257,
68,清水西児童クラブ,福井市大森町34-1　旧清水西保育園内,清水西,98-3570,36.023783,136.122445,
69,清水南児童クラブ,福井市真栗町15-33　清水南小学校内,清水南,080-1955-8044,36.014793,136.148177,
70,くりのみ児童クラブ,福井市グリーンハイツ9-165　くりのみ児童館内,清水北,98-3833,36.040112,136.167575,
71,大安寺児童クラブ,福井市田ノ谷町14-6　大安寺幼稚園内,大安寺,76-4019,36.105376,136.176136,
72,国見児童クラブ,福井市鮎川町92-23　緑ヶ丘保育園内,国見,88-2050,36.091776,136.03382,
73,たけのこ児童クラブ,福井市砂子坂町5-58　たけのこ児童館内,鵜,83-1651,36.143762,136.146869,
74,なつめ児童クラブ,福井市石新保町12—32　棗小中学校内,棗,080-2955-7076,36.145395,136.108748,
75,鷹巣児童クラブ,福井市大窪町43-10-1,鷹巣,090-6816-8656,36.135856,136.079651,
76,本郷児童クラブ,福井市大年町65-3　本郷小学校内,本郷,090-5171-8223,36.114936,136.140388,
77,ちゅうりっぷ児童クラブ,福井市荒木新保町45-7-1　ちゅうりっぷ児童館内,酒生,41-4155,36.033358,136.272648,
78,一乗児童クラブ,福井市西新町1-4　一乗小学校内,一乗,080-1968-0730,35.99556,136.290377,
79,上文殊児童クラブ,福井市生部町36-6　上文殊小学校内,上文殊,080-1956-1559,35.999622,136.25303,
80,もくせい児童クラブ,福井市太田町14-7　もくせい児童館内,文殊,38-3490,36.011955,136.229937,
81,六条児童クラブ,福井市上莇生田町5-16　六条小学校内,六条,080-8695-7579,36.026403,136.233096,
82,まきやま児童クラブ,福井市東郷二ケ町25-16　まきやま児童館内,東郷,41-3101,36.01534,136.27032,
83,啓明児童クラブ,福井市朝谷町1-20　美山啓明幼稚園内,美山,080-2959-9907,35.994479,136.372046,
84,すぎのこ児童クラブ,福井市市波町25-3-4　すぎのこ児童館内,美山,96-4334,36.018806,136.331647,
