No.,施設名称,郵便番号,施設所在地,施設電話番号,詳細業種,許可年月日,部屋数,緯度,経度,備考
21,ホテル　ＭＯＴ,918-8104,板垣３丁目１７０５,0776-35-5577,旅館・ホテル営業,6/17/82,10 ,36.044878 ,136.235860 ,
22,ホテル　フィガロ,910-0805,高木２丁目１１１１,0776-54-5675,旅館・ホテル営業,12/9/82,13 ,36.093000 ,136.227406 ,
23,ビジネスホテル　松楽,910-0003,松本４丁目２０―１５,0776-23-2743,旅館・ホテル営業,2/21/83,26 ,36.074987 ,136.220498 ,
24,英国館,910-0843,西開発３丁目１２５,0776-53-5528,旅館・ホテル営業,4/30/83,12 ,36.081797 ,136.236516 ,
25,つり宿　アラタニ,910-3136,川尻町４１―７４,0776-85-1604,簡易宿所営業,7/14/83,7 ,36.145714 ,136.096556 ,
26,かねこ旅館,910-0017,文京４丁目２―７,0776-23-2650,旅館・ホテル営業,10/15/83,8 ,36.074297 ,136.210996 ,
27,ＨＯＴＥＬ　ＢＲＯＳ,910-0804,高木中央１丁目２８０９,0776-53-1105,旅館・ホテル営業,3/24/84,12 ,36.087420 ,136.234412 ,
28,民宿　汐満荘,910-3372,西二ツ屋町１－５,0776-86-1177,旅館・ホテル営業,4/27/84,11 ,36.139121 ,136.081231 ,
29,ホテル　ブルーシャトー,910-2222,市波町５３－５５－１,0776-96-4731,旅館・ホテル営業,4/28/84,10 ,36.022599 ,136.311139 ,
30,アネックスホテル　福井,910-0005,大手２丁目１８―１,0776-23-2003,旅館・ホテル営業,10/9/84,30 ,36.065832 ,136.223174 ,
31,Ｌｅｐｉｎ,910-0842,開発３丁目１０７,0776-53-0121,旅館・ホテル営業,11/7/84,10 ,36.079895 ,136.238364 ,
32,ホテル　チョコレ,910-0132,河合寄安町８―１０―２,,旅館・ホテル営業,11/26/84,14 ,,,所在地不明
33,ホテル　コート・ドール,910-0843,西開発４丁目７１５,0776-54-5455,旅館・ホテル営業,12/14/84,12 ,36.086255 ,136.232025 ,
34,ホテル　ラララ　ウエスト,910-0843,西開発４丁目９０６,0776-54-0223,旅館・ホテル営業,12/20/84,13 ,36.086893 ,136.230415 ,
35,ＨＯＴＥＬ　ＣＯＣＯ,910-0804,高木中央１丁目２８０５,0776-54-6812,旅館・ホテル営業,2/7/85,18 ,36.087692 ,136.234671 ,
36,ホテル　Ｌａ．Ｌａ．Ｌａ,910-0842,開発４丁目４０３,0776-53-5770,旅館・ホテル営業,2/12/85,8 ,36.084098 ,136.238517 ,
37,ホテル　コンチネンタル　福井高木店,910-0804,高木中央２丁目３２０６,0776-54-3722,旅館・ホテル営業,2/12/85,50 ,36.091595 ,136.233726 ,
38,料理旅館　越前雲海,910-3385,北菅生町１５―１０―１,0776-86-1221,旅館・ホテル営業,10/8/85,11 ,36.108835 ,136.048562 ,
39,大安寺萬松閣,910-0043,四十谷町１２―２１―１,0776-59-1177,旅館・ホテル営業,11/13/85,18 ,36.108102 ,136.174444 ,
40,福井運動公園合宿所,918-8027,福町３―２０,0776-36-1542,旅館・ホテル営業,7/26/86,10 ,36.003687 ,135.975669 ,
41,福井県中小企業産業大学校,918-8135,下六条町１６―１５,0776-41-3775,旅館・ホテル営業,10/20/86,23 ,36.035816 ,136.230625 ,
42,宝永旅館,910-0004,宝永３丁目７―１６,0776-22-5204,旅館・ホテル営業,4/11/87,12 ,36.067904 ,136.222665 ,
43,ホテル　フクイキャッスル,910-0005,大手２丁目１９―５,0776-23-7700,旅館・ホテル営業,4/16/88,60 ,36.066326 ,136.221919 ,
44,つきみ旅館,918-8011,月見２丁目５―１２,0776-36-0167,旅館・ホテル営業,10/19/88,34 ,36.045976 ,136.214961 ,
45,日之出旅館,910-0017,文京４丁目２―６,0776-22-3047,旅館・ホテル営業,1/6/89,11 ,36.074282 ,136.211145 ,
46,ホテル　パルムドール,910-0843,西開発４丁目９０７,0776-53-2030,旅館・ホテル営業,8/21/89,14 ,36.087205 ,136.230424 ,
47,民宿　陣屋別館,910-2153,城戸ノ内町８―４０―２,0776-41-2312,旅館・ホテル営業,8/25/89,5 ,36.004111 ,136.298641 ,
48,料理旅館鉾島,910-3386,南菅生町２８―１,0776-86-1546,旅館・ホテル営業,7/10/90,5 ,36.104671 ,136.041732 ,
49,ドライブイン大石,910-3557,城有町６２―１―５,,簡易宿所営業,12/17/90,8 ,,,所在地不明
50,白浜荘,910-3372,西二ツ屋町２―１―４８,0776-86-1316,旅館・ホテル営業,12/27/90,23 ,36.139009 ,136.082661 ,
51,香爐園,910-0006,中央３丁目８―１６,0776-22-0601,旅館・ホテル営業,12/21/92,9 ,36.063065 ,136.212943 ,
52,越前満月,910-3136,川尻町４１―４５―１,0776-85-1331,旅館・ホテル営業,11/11/94,9 ,36.146894 ,136.097761 ,
53,ひさご,910-3402,鮎川町９６―６―２,0776-88-2033,旅館・ホテル営業,11/15/94,8 ,36.090885 ,136.031920 ,
54,お食事憩いの宿　やまちょう,910-3135,両橋屋町２３―４０,0776-86-1234,旅館・ホテル営業,12/27/94,16 ,36.143510 ,136.087574 ,
55,㈲一丁来,910-3556,赤坂町１―１,0776-89-2100,簡易宿所営業,7/1/95,9 ,36.003687 ,135.975668 ,
56,ホテル　リバージュ　アケボノ,910-0006,中央３丁目１０―１２,0776-22-1000,旅館・ホテル営業,4/5/96,145 ,36.062123 ,136.214408 ,
57,ホテル　ＢＥＢＥ,910-0843,西開発４丁目６１４,0776-54-3525,旅館・ホテル営業,10/4/96,20 ,36.084807 ,136.232004 ,
58,ホテル割烹石丸,910-3402,鮎川町９４―８―１,0776-88-2225,旅館・ホテル営業,10/28/96,11 ,36.092781 ,136.031480 ,
59,山内旅館,910-0857,豊島１丁目８―２５,0776-23-4883,旅館・ホテル営業,11/7/97,5 ,36.058265 ,136.221388 ,
60,福井県立武道館,910-0039,三ツ屋町８―１―１,0776-26-9400,旅館・ホテル営業,12/18/97,10 ,36.084949 ,136.194599 ,
61,ＨＯＴＥＬ　ＮＥＸＴ　ＲＥＳＯ　ＧＲＡＮＤ,910-0023,順化２丁目６―４,0776-29-0180,旅館・ホテル営業,3/30/98,37 ,36.063976 ,136.214238 ,
62,アパホテル（福井片町）,910-0023,順化１丁目１６―７,0776-28-7111,旅館・ホテル営業,3/30/99,247 ,36.064854 ,136.215325 ,
63,越前シーサイドホテル,910-3558,八ツ俣町１２―８,0776-89-2211,旅館・ホテル営業,10/6/99,42 ,35.997345 ,135.966222 ,
64,アズイン福井,910-0006,中央３丁目４―２０,0776-26-0011,旅館・ホテル営業,4/13/00,166 ,36.062837 ,136.214654 ,
65,湯けむり温泉　ゆ－遊,918-8026,渕２丁目１４０１,0776-34-7770,旅館・ホテル営業,2/15/01,29 ,36.003687 ,135.975669 ,
66,コミュニティリゾート　リライム,910-0842,開発５丁目１２０７番地,0776-52-5400,旅館・ホテル営業,12/18/01,36 ,36.086381 ,136.244768 ,
67,福井アカデミアホテル,910-0034,菅谷１丁目１－２２,0776-29-1020,旅館・ホテル営業,6/5/03,51 ,36.071379 ,136.195670 ,
68,小玉旅館,910-3552,茱崎町１３―１１３,0776-89-2006,旅館・ホテル営業,1/16/04,5 ,36.042264 ,136.012344 ,
69,ホテル　ルートイン福井大和田,910-0836,大和田２丁目３０６番地,0776-52-7711,旅館・ホテル営業,6/9/04,126 ,36.095754 ,136.247884 ,
70,兼八旅館,910-3402,鮎川町９８―９,0776-88-2005,旅館・ホテル営業,9/6/04,5 ,36.090682 ,136.031406 ,
71,ホテルエコノ　福井駅前,910-0859,日之出１丁目１―１７,0776-23-5300,旅館・ホテル営業,7/10/06,138 ,36.061924 ,136.224219 ,
72,ホテルＡｎ（アン）,910-0842,開発４丁目５００,0776-54-0580,旅館・ホテル営業,9/12/06,6 ,36.083643 ,136.238194 ,
73,セリーヌ,910-0843,西開発３丁目３０７,0776-53-0460,旅館・ホテル営業,9/25/06,20 ,36.083708 ,136.235371 ,
74,東横イン福井駅前,910-0005,大手２丁目１―１,0776-29-1045,旅館・ホテル営業,1/9/07,239 ,36.062971 ,136.223431 ,
75,ホテル　ルートイン福井駅前,910-0005,大手２丁目１―１４,0776-30-2130,旅館・ホテル営業,10/29/07,162 ,36.063246 ,136.223712 ,
76,コンフォートイン福井,910-0836,大和田１丁目１５０４番地,0776-54-8311,旅館・ホテル営業,1/9/08,98 ,36.089948 ,136.249780 ,
77,ホテル　ネクスト　エム　グラン,910-0843,西開発４丁目６１８,0776-52-5520,旅館・ホテル営業,12/28/10,31 ,36.084745 ,136.231616 ,
78,石森亭,910-3377,浜住町１０－１,0776-86-1518,旅館・ホテル営業,4/7/11,5 ,36.130499 ,136.067331 ,
79,ＧＦＣ越前,910-3558,八ツ俣町１３―１,0776-89-2199,旅館・ホテル営業,6/2/11,33 ,35.996702 ,135.969504 ,
80,海の宿　山根屋,910-3378,免鳥町３５―１１１,0776-86-1727,旅館・ホテル営業,8/1/11,9 ,36.135387 ,136.074990 ,
81,タウンホテル福井,910-0023,順化１丁目１４―７,0776-21-2800,旅館・ホテル営業,8/15/11,29 ,36.064727 ,136.216304 ,
82,ホテル　Ａ／Ｃ／Ｅ,910-0842,開発４丁目２０２,0776-52-0580,旅館・ホテル営業,10/25/11,9 ,36.082961 ,136.237882 ,
83,福井フェニックスホテル,910-0005,大手２丁目４―１８,0776-21-1800,旅館・ホテル営業,12/12/12,87 ,36.064108 ,136.223496 ,
84,福井市国民宿舎鷹巣荘,910-3381,蓑町３―１１―１,0776-86-1111,旅館・ホテル営業,10/24/14,12 ,36.128722 ,136.057782 ,
85,ゲストＨＯＵＳＥ　Ｌｏｕｎｇｅたき,910-0856,勝見２丁目８―５,0776-22-5666,簡易宿所営業,7/13/15,2 ,36.055891 ,136.228825 ,
86,福井ゲストハウス　ＳＡＭＭＩＥ’Ｓ,910-0859,日之出２丁目６―８,0776-97-9559,簡易宿所営業,8/19/15,3 ,36.061736 ,136.226898 ,
87,福井パレスイン,910-0023,順化１丁目１２－１７,0776-23-3801,旅館・ホテル営業,3/4/16,81 ,36.064328 ,136.217397 ,
88,福井パレスホテル,910-0023,順化１丁目５－１８,0776-23-3800,旅館・ホテル営業,3/4/16,94 ,36.063647 ,136.215584 ,
89,民宿　よねや,910-3553,蒲生町１１―６,0776-89-2266,簡易宿所営業,3/31/16,4 ,36.035665 ,136.012433 ,
90,福井マンテンホテル駅前,910-0006,中央１丁目１１－１,0776-20-0100,旅館・ホテル営業,4/7/16,189 ,36.060607 ,136.221837 ,
91,ホテルコンチネンタル福井大和田店,910-0842,開発５丁目１８１１,0776-52-6969,旅館・ホテル営業,9/6/16,30 ,36.087745 ,136.247247 ,
92,センチュリオンホテルヴィラスイート福井駅前,910-0859,日之出２丁目２―３,0776-63-5835,旅館・ホテル営業,1/6/17,17 ,36.061526 ,136.225771 ,
93,福井市ガラガラ山越前水仙の里キャンプ場,910-3556,赤坂町６６－８４,0776-89-2180,簡易宿所営業,3/28/17,17 ,36.003017 ,135.986930 ,
94,天然温泉　佐野温泉　福の湯,910-3121,佐野町１４―８,0776-83-1929,旅館・ホテル営業,9/26/17,22 ,36.141789 ,136.141534 ,
95,ホテル京福福井駅前,910-0859,日之出１丁目１８―１,0776-24-8800,旅館・ホテル営業,2/7/18,77 ,36.061683 ,136.224432 ,
96,福井市リズムの森,910-2203,西中町２０－２３,0776-96-4111,簡易宿所営業,4/25/18,8 ,36.028563 ,136.412562 ,
97,天然温泉　羽二重の湯　ドーミーイン福井,910-0006,中央1丁目１８－１,0776-21-5489,旅館・ホテル営業,3/6/19,189 ,36.061380 ,136.217890 ,
98,Ｄｏｌｃｅ　Ｖｉｔａ,910-3523,武周町１０－１３,,簡易宿所営業,9/18/19,3 ,36.035564 ,136.040339 ,
99,アーバンリゾート１,910-3403,白浜町３－２,,簡易宿所営業,3/13/20,3 ,36.080782 ,136.027363 ,
100,アーバンリゾート２,910-3403,白浜町３－２,0776-88-2013,簡易宿所営業,3/13/20,3 ,36.080782 ,136.027363 ,
101,ホテルフジタ福井,910-0005,大手３丁目１２－２０,0776-27-8811,旅館・ホテル営業,8/31/20,354 ,36.064688 ,136.218351 ,
102,福井市少年自然の家,910-2161,脇三ケ町６６－２－１０,0776-41-3660,簡易宿所営業,3/30/21,26 ,36.013086 ,136.291871 ,
103,ＭＡＲＥゲストハウス,910-3402,鮎川町９４－７－２,0776-88-2323,簡易宿所営業,12/17/21,1 ,36.092435 ,136.031458 ,
104,亀の井ホテル　福井,918-8026,渕町４３－１７,0776-36-5793,旅館・ホテル営業,3/11/22,33 ,36.043951 ,136.193167 ,
105,ルポの森,910-2222,市波町３８－２,0776-96-7071,旅館・ホテル営業,4/8/22,22 ,36.010850 ,136.329421 ,
106,ＢＬＵＥ　ＳＱＵＡＲＥ,910-3386,南菅生町２５－１－１,,簡易宿所営業,7/12/22,3 ,36.105259 ,136.042354 ,
107,国民宿舎　鷹巣荘別館　グランピングハウス（蒼・橙・翠）,910-3381,蓑町３－１１－１,0776-86-1111,簡易宿所営業,9/27/22,3 ,36.128722 ,136.057782 ,
108,ＵＭＩＴＯＭＡ　ＯＣＥＡＮ　ＶＩＥＷ　ＲＥＳＯＲＴ　ＥＣＨＩＺＥＮ,910-3553,蒲生町１９－６－１,0776-76-3284,簡易宿所営業,10/14/22,5 ,36.030870 ,136.008169 ,
109,Ｓｕｎｓｅｔ　Ｖｉｌｌａ　Ｓｐａ　Ｒｅｓｏｒｔ,910-3402,鮎川町９４－１７－１,,簡易宿所営業,11/4/22,3 ,36.093428 ,136.030943 ,
110,福井ゲストハウス　トリプレッツ,910-0859,日之出２丁目１４－２４,,簡易宿所営業,3/23/23,1 ,36.063297 ,136.227917 ,
111,森のほうかご　ＶＩＬＬＡＧＥ,910-3645,笹谷町１１５,0776-98-2752,簡易宿所営業,3/27/23,5 ,36.020907 ,136.087714 ,
112,ドッグパーク・オーシャンズ,910-3551,大味町１９－２－１，１９－３－１,,簡易宿所営業,10/30/23,3 ,36.058230 ,136.019491 ,
113,すづや旅館又兵衛,918-8002,左内町５－１,0776-36-3418,簡易宿所営業,11/15/23,2 ,36.060637 ,136.213612 ,
114,ワタリグラスハウス,910-3402,鮎川町２１－８－３,0776-88-2025,簡易宿所営業,11/28/23,1 ,36.096163 ,136.033260 ,
115,最低限,910-0005,大手２丁目４－２８,,簡易宿所営業,1/19/24,1 ,36.063480 ,136.223208 ,
116,コートヤード・バイ・マリオット　福井,910-0006,中央１丁目３－５,0776-50-6621,旅館・ホテル営業,2/27/24,252 ,36.062164 ,136.220844 ,
117,点景,910-3555,居倉町３８－２,,簡易宿所営業,4/12/24,1 ,36.009689 ,135.988232 ,
118,ＶＩＬＬＡ　ＴＡＫＡＳＵ,910-3381,蓑町１１－２２－２,0776-86-1111,簡易宿所営業,7/17/24,2 ,36.128218 ,136.058576 ,
119,ＢＥＡＣＨＣＯＭＢＥＲ　Ｅｃｈｉｚｅｎ　Ｃｏａｓｔ,910-3553,蒲生町１－５２,,簡易宿所営業,7/17/24,3 ,36.038034 ,136.012344 ,
120,ＨＡＴＴＯ,910-0006,中央３丁目３－２７,,簡易宿所営業,9/3/24,2 ,36.062624 ,136.215525 ,
121,Ｗａｋｕ　ｔｅｒｒａｃｅ,910-3554,浜北山町１８－８,,簡易宿所営業,10/22/24,1 ,36.014139 ,135.993005 ,
122,Ｚｅｎ　Ｓｔａｙ　春山,910-0019,春山１丁目１－３９,0776-54-4557,簡易宿所営業,2/25/25,1 ,36.068339 ,136.216515 ,
