No.,業種,詳細業種,業態,営業所名称,営業所郵便番号,営業所所在地,営業所電話番号,許可番号（号）,施行日,有効期限
31,飲食店営業,その他,バー,７六歩,910-0023,福井市順化１丁目７－９片町バレービル２Ｆ２－Ｃ,,福井市指令生衛第24-4-392号,1/21/25,3/31/30
32,飲食店,軽食,,８７　ｃａｆｅ,918-8067,福井市飯塚町１３―１０５,0776-97-5571,福井市指令生衛第20-2-56号,4/23/20,5/31/25
33,飲食店営業,一般食堂・レストラン等,ラーメン店,８番らーめん　下馬店,918-8112,福井市下馬３丁目４１０－１,0776-63-5778,福井市指令生衛第23-3-102号,7/21/23,10/31/28
34,飲食店,めん類,,８番らーめん　花堂店,918-8024,福井市舞屋町１５―３,0776-35-3425,福井市指令生衛第20-2-61号,4/23/20,5/31/25
35,飲食店営業,一般食堂・レストラン等,らーめん屋,８番らーめん　開発店,910-0842,福井市開発２丁目２１９,0776-53-0881,福井市指令生衛第21-4-421号,11/4/21,12/31/26
36,飲食店営業,一般食堂・レストラン等,ラーメン屋,８番らーめん　御幸店,910-0854,福井市御幸３丁目１６－３１,0776-22-0993,福井市指令生衛第23-4-56号,5/1/23,7/31/28
37,飲食店,めん類,,８番らーめん　春江店,910-0121,福井市定正町１２１９－２,0776-56-3788,福井市指令生衛第20-2-335号,8/26/20,9/30/25
38,飲食店営業,一般食堂・レストラン等,ラーメン店,８番らーめん　足羽店,918-8184,福井市真木町１３－１９,0776-38-1355,福井市指令生衛第21-4-292号,8/26/21,10/31/26
39,飲食店営業,一般食堂・レストラン等,ラーメン屋,８番らーめん　二の宮店,910-0015,福井市二の宮２丁目２０１－１,0776-97-8227,福井市指令生衛第23-4-250号,10/5/23,1/31/29
40,飲食店営業,一般食堂・レストラン等,ラーメン店,８番らーめん　福井駅店,910-0006,福井市中央１丁目１－２５くるふ福井駅㊶,0776-37-4008,福井市指令生衛第23-3-357号,2/21/24,11/30/29
41,飲食店営業,一般食堂・レストラン等,ラーメン店,８番らーめん　福井大学前店,910-0018,福井市田原２丁目１９－１７,0776-22-3320,福井市指令生衛第21-4-549号,12/7/21,2/28/27
42,飲食店営業,一般食堂・レストラン等,らーめん屋,８番らーめん　米松店,910-0851,福井市米松１丁目１６０４,0776-54-6333,福井市指令生衛第23-4-55号,5/11/23,7/31/28
43,飲食店営業,一般食堂・レストラン等,ラーメン店,８番らーめん　堀の宮店,910-0016,福井市大宮６丁目５－１９,0776-24-2597,福井市指令生衛第21-4-550号,12/7/21,1/31/27
44,飲食店,めん類,,８番らーめん若杉店,918-8055,福井市若杉４丁目２０１,0776-36-1613,福井市指令生衛第20-1-280号,11/6/20,5/31/26
45,飲食店営業,一般食堂・レストラン等,ラーメン店,８番らーめん新保店,910-0832,福井市新保町１７字南高田１８,0776-52-0886,福井市指令生衛第24-4-245号,11/14/24,12/31/29
46,飲食店営業,その他,スナック,９＋Ｓａｉ,910-0023,福井市順化２丁目２０－１３友邦ビル　３階３０１号室,,福井市指令生衛第23-3-82号,6/26/23,4/30/29
47,飲食店営業,その他,バー,Ａ’ｂｏｕｇｈｔ　ＣＡＦＥ　７１１,910-0023,福井市順化２丁目６－１８泉谷ビル１Ｆ,0776-22-0567,福井市指令生衛第21-4-716号,2/24/22,4/30/27
48,飲食店営業,その他,スナック,Ａｃｃｌａｉｍ（アクレイム）,910-0023,福井市順化１丁目１７－２３サンロイヤル片町４Ｆ　４０２号室,,福井市指令生衛第24-4-390号,1/23/25,3/31/30
49,飲食店営業,その他,社交飲食店,ＡＣＥ,910-0023,福井市順化２丁目１４－２１Ｒビル２Ｆ,0776-92-0601,福井市指令生衛第22-4-399号,2/7/23,4/30/28
50,飲食店営業,その他,バー,ＡＣＥ　ＣＬＵＢ,910-0023,福井市順化１丁目２４－１９郡ビル２階３号室,0776-50-3501,福井市指令生衛第21-4-676号,2/10/22,3/31/27
51,飲食店営業,その他,ラウンジ,ＡＣＥ．Ａｔｒｉｕｍ,910-0023,福井市順化２丁目１３－２１,,福井市指令生衛第22-3-417号,4/5/23,4/30/28
52,飲食店営業,その他,バー,Ａｄｄｉｔｉｏｎａｌ　ｔｉｍｅ　ｂａｒ　ＧＯＬＡＺＯ,910-0023,福井市順化２丁目２４－８津々美ビル２２４　１階,0776-92-0736,福井市指令生衛第23-4-561号,4/11/24,4/30/29
53,飲食店営業,その他,ポーカールーム,ＡＦＴＥＲ　ＡＬＬ,910-0006,福井市中央１丁目３－７ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　Ｗ棟１Ｆ　１０２,,福井市指令生衛第24-3-279号,10/17/24,11/30/29
54,飲食店営業,一般食堂・レストラン等,洋食店,Ａｆｔｅｒ　Ｈｏｕｒｓ　Ｂａｒ　Ｈ．Ａ．Ｎ．Ｄ．,918-8231,福井市問屋町１丁目１６５五十嵐１ＦＡ号,0776-97-6169,福井市指令生衛第23-4-31号,5/2/23,7/31/28
55,飲食店営業,その他,チョコレート専門店,ＡＦＴＥＲＧＬＯＷ　ＣＨＯＣＯＬＡＴＥ,910-0024,福井市照手１丁目９－２０,,福井市指令生衛第22-3-117号,7/22/22,4/30/28
56,菓子製造業,菓子製造業,,ＡＦＴＥＲＧＬＯＷ　ＣＨＯＣＯＬＡＴＥ,910-0024,福井市照手１丁目９－２０,,福井市指令生衛第22-3-118号,7/22/22,4/30/28
57,飲食店,社交飲食,,Ａｇｉｔ,910-0023,福井市順化１丁目１０―１５サエラビル　５Ｆ,0776-21-9980,福井市指令生衛第20-2-842号,2/18/21,3/31/26
58,飲食店営業,一般食堂・レストラン等,フレンチレストラン,Ａｉｄｅｎ,910-0804,福井市高木中央１丁目２６０１,0776-50-0655,福井市指令生衛第24-3-227号,9/9/24,12/31/29
59,そうざい製造業,そうざい製造業,,Ａｉｄｅｎ,910-0804,福井市高木中央１丁目２６０１,0776-50-0655,福井市指令生衛第24-3-228号,9/9/24,12/31/29
60,菓子製造業,菓子製造業,,Ａｉｄｅｎ,910-0804,福井市高木中央１丁目２６０１,0776-50-0655,福井市指令生衛第24-3-229号,9/9/24,12/31/29
61,飲食店営業,その他,バー,ＡＩＭ,910-0019,福井市春山２丁目１－３伊東ビル１階１０６号室,,福井市指令生衛第21-4-815号,4/5/22,4/30/27
62,飲食店,軽食,,ＡＫ　Ｃｏｒｎｅｒ,910-0854,福井市御幸４丁目１２－１５ＧＡＲＤＥＮ　１Ｆ,,福井市指令生衛第19-1-130号,8/28/19,7/31/25
63,飲食店,食堂,,Ａｌｆｒｅｄｏ,910-0006,福井市中央１丁目２１―３６サンロードビル１階,0776-28-0546,福井市指令生衛第20-2-484号,10/19/20,11/30/25
64,飲食店営業,その他,Bar,Ａｌｍｉｇｈｔｙ　ｂａｒ　ｂｒｉｌｌｉａｎｔ,910-0023,福井市順化２丁目２２－４イトービル１階,0776-26-1136,福井市指令生衛第22-4-432号,3/2/23,4/30/28
65,飲食店営業,その他,スナック,ＡＬＶＩＤＡ,910-0023,福井市順化１丁目１５－１ＫＩＨＡＣＨＩ　Ⅰビル２Ｆ　Ｂ,0776-27-3538,福井市指令生衛第23-4-562号,3/19/24,3/31/29
66,飲食店営業,その他,スナック,ＡＭＡＴＥＲＡＳ,910-0023,福井市順化２丁目１３－１４ＣＯＰＡビル　３階　Ａ２号室,,福井市指令生衛第24-3-84号,5/27/24,4/30/30
67,飲食店営業,その他,スナック,ＡＭＵＳＥ,910-0023,福井市順化１丁目１７－２３サンロイヤル片町６Ｆ　６０１,0776-28-9058,福井市指令生衛第21-4-683号,2/17/22,3/31/27
68,飲食店営業,一般食堂・レストラン等,洋食店,ａｎｅｌａ　ｐａｎｉｎｉ,910-0017,福井市文京６丁目６－１０,,福井市指令生衛第21-3-1号,8/2/21,1/31/28
69,飲食店営業,その他,スナック,Ａｎｇｅ,910-0023,福井市順化１丁目１４－２１順化アルバ２Ｆ　２０１,,福井市指令生衛第23-4-430号,1/10/24,3/31/29
70,飲食店営業,その他,スナック,Ａｎｇｅｌａ,910-0023,福井市順化１丁目１７－２１旭ビル　１Ｆ,0776-97-5444,福井市指令生衛第24-4-377号,2/27/25,3/31/30
71,飲食店営業,仕出し屋・弁当屋,喫茶と給食施設,ＡＯＩ　ＴＳＵＫＩ,918-8237,福井市和田東１丁目７０７－１,0776-37-3757,福井市指令生衛第23-3-425号,3/7/24,7/31/29
72,菓子製造業,菓子製造業,,ＡＯＩ　ＴＳＵＫＩ,918-8237,福井市和田東１丁目７０７－１,0776-37-3757,福井市指令生衛第23-3-426号,3/7/24,7/31/29
73,飲食店営業,その他,ＢＡＲ,Ａｒｅａ,910-0023,福井市順化１丁目８－１７ダイナソービル２Ｆ　Ｊ,0776-50-2876,福井市指令生衛第24-4-384号,1/16/25,3/31/30
74,飲食店,社交飲食,,Ａｒｉｅｌ,910-0023,福井市順化１丁目１８－１０そば重ビル２階２１０号,0776-25-4177,福井市指令生衛第20-1-386号,1/8/21,3/31/26
75,飲食店,社交飲食,,Ａｒｉｅｓ　ｔｒｏｉｓ,910-0023,福井市順化２丁目２０番１３号友邦ビル地下１階,0776-27-2737,福井市指令生衛第20-2-988号,3/24/21,4/30/26
76,飲食店営業,その他,社交飲食,Ａｒｉｅｓ　Ｔｒｏｉｓ,910-0023,福井市順化２丁目２０－１３友邦ビル１階１０２,0776-28-6737,福井市指令生衛第21-4-704号,2/15/22,4/30/27
77,そうざい製造業,そうざい製造業,,Ａｔｔ　Ｋｉｔｃｈｅｎ,910-0006,福井市中央１丁目９－２４福井中央ビル１階、２階,,福井市指令生衛第22-3-157号,8/29/22,11/30/27
78,菓子製造業,菓子製造業,,Ａｔｔ　Ｋｉｔｃｈｅｎ,910-0006,福井市中央１丁目９－２４福井中央ビル１階、２階,,福井市指令生衛第22-3-158号,8/29/22,11/30/27
79,飲食店営業,その他,スナック,Ａｖｅｎｉｒ,910-0023,福井市順化２丁目２０－１３友邦ビル２階２０２,0776-27-0077,福井市指令生衛第21-4-734号,3/8/22,4/30/27
80,飲食店,そうざい,,Ａコープみゆき店,910-0854,福井市御幸３丁目１２－１,0776-26-7111,福井県指令福保第1810565号,12/7/18,7/31/25
81,魚介類販売業,一般,,Ａコープみゆき店,910-0854,福井市御幸３丁目１２－１,0776-26-7111,福井県指令福保第1810566号,12/7/18,7/31/25
82,食肉販売業,食肉販売業,,Ａコープみゆき店,910-0854,福井市御幸３丁目１２－１,0776-26-7111,福井市指令生衛第24-4-27号,5/8/24,7/31/30
83,魚介類販売業,魚介類販売業,,Ａコープみゆき店　鮮魚部,910-0854,福井市御幸３丁目１２－１Ａコープみゆき店内,,福井市指令生衛第21-3-337号,3/25/22,7/31/28
84,食肉販売業,一般,,Ａコープやしろ店,918-8026,福井市渕２丁目１７１１,0776-34-2100,福井県指令福保第1810568号,12/7/18,5/31/25
85,飲食店,そうざい,,Ａコープやしろ店,918-8026,福井市渕２丁目１７１１,0776-34-2100,福井県指令福保第1810569号,12/7/18,5/31/25
86,飲食店,そうざい,,Ａコープやしろ店,918-8026,福井市渕２丁目１７１１,0776-34-2100,福井県指令福保第1810570号,12/7/18,5/31/25
87,魚介類販売業,一般,,Ａコープやしろ店,918-8026,福井市渕２丁目１７１１,0776-34-2100,福井県指令福保第1810571号,12/7/18,5/31/25
88,飲食店営業,その他,ダーツバー,ＢＡＤ　ＢＩＲＤＹ,910-0005,福井市大手３丁目１４－５大手３Ｍテナント　２Ｆ,,福井市指令生衛第23-3-261号,11/20/23,11/30/29
89,菓子製造業,パン,,ｂａｋｅｒｉｕｍ,918-8031,福井市種池１丁目１７０９,0776-89-1929,福井市指令生衛第21-4-794号,3/22/22,5/31/27
90,飲食店営業,一般食堂・レストラン等,フランス・イタリア料理店,ＢＡＭＢＯＣＨＥ　ｄｅ　ＹＡＭＡ,910-0023,福井市順化１丁目３－１０,0776-22-6858,福井市指令生衛第21-4-661号,1/27/22,3/31/27
91,喫茶店,純喫茶,,Ｂａｎａｎａ　Ｂｏｙ,910-3553,福井市蒲生町１６－７－１,,福井市指令生衛第20-1-199号,8/21/20,7/31/26
92,飲食店営業,その他,喫茶店,Ｂａｎａｎａ　Ｂｏｙ　市場店,910-0836,福井市大和田１丁目１０１福井市中央卸売市場関連商品売場,,福井市指令生衛第22-3-5号,4/12/22,12/31/27
93,飲食店営業,その他,スナック,ＢＡＮＧＫＯＫ　Ｃｉｔｙ’ｓ,910-0023,福井市順化１丁目１７－１１ウエノビル１Ｆ,,福井市指令生衛第21-3-215号,1/11/22,3/31/27
94,飲食店営業,その他,Ｂａｒ,Ｂａｒ　ＡＤＥＬＩＥ,910-0023,福井市順化１丁目１５－９スカイパレスビル４Ｆ　４０２号室,,福井市指令生衛第23-3-287号,12/14/23,3/31/29
95,飲食店,社交飲食,,Ｂａｒ Ａｄｈｉｒａ,910-0006,福井市中央１丁目１７－１５サンジェルマンビル６階,,福井市指令生衛第20-1-464号,3/18/21,11/30/26
96,飲食店,社交飲食,,Ｂａｒ　Ａｎｇｅｌｉｎａ,910-0023,福井市順化２丁目１９―１２森ビル１ＦＡ号室,,福井市指令生衛第21-2-18号,4/30/21,4/30/26
97,飲食店営業,その他,バー,Ｂａｒ　ＢＩＮＸ’Ｓ,910-0023,福井市順化２丁目８－１４パーク・サイド・タワー　４階,,福井市指令生衛第23-3-271号,11/24/23,4/30/29
98,飲食店,社交飲食,,Ｂａｒ　Ｃｈlｏé,910-0023,福井市順化２丁目６－１７フォレスト片町４０２,,福井市指令生衛第20-1-429号,2/25/21,4/30/26
99,飲食店営業,その他,スナック,ＢＡＲ　ＣＵＴＥ　９１０,910-0023,福井市順化２丁目２２－３ＴＭビル５Ｆ,,福井市指令生衛第22-4-455号,3/15/23,4/30/28
100,飲食店営業,その他,バー,Ｂａｒ　ＤＯＮ,910-0023,福井市順化２丁目８－１４パークサイドタワー１階－ＡＢ,,福井市指令生衛第24-3-214号,8/29/24,4/30/30
101,飲食店営業,その他,バー,ＢＡＲ　ＤＯＰＥ,910-0023,福井市順化１丁目７－９片町バレービル４Ｆ　Ｄ,,福井市指令生衛第23-3-152号,8/28/23,3/31/29
102,飲食店営業,その他,バー,Ｂａｒ　Ｄｒｅａｍ,910-0023,福井市順化２丁目２１－１８加賀テナントＥ号,0776-28-2618,福井市指令生衛第24-4-433号,2/13/25,4/30/30
103,飲食店営業,その他,バー,Ｂａｒ　ＥＧＯＩＳＴ,910-0023,福井市順化２丁目１２－１４プリンスビル２Ｆ,0776-97-6385,福井市指令生衛第21-4-723号,2/22/22,4/30/27
104,飲食店,社交飲食,,Ｂａｒ　ｆａｔｅ,910-0023,福井市順化２丁目２０－１３シャンティ片町２Ｆ,,福井市指令生衛第19-1-360号,11/29/19,4/30/25
105,飲食店,社交飲食,,Ｂａｒ　ＧＥＡＳＳ,910-0023,福井市順化１丁目１０―１２Ｋ．Ｋビル２階Ｂ号室,,福井市指令生衛第20-2-839号,2/18/21,3/31/26
106,飲食店,社交飲食,,Ｂａｒ　ＧＲＯＷＰ,910-0023,福井市順化１丁目１８－８開明ビル１Ｆ　１０６号室,0776-89-1237,福井市指令生衛第20-1-223号,9/25/20,3/31/26
107,飲食店営業,その他,カクテルバー,ＢＡＲ　ＩＳＡＫＡ,910-0023,福井市順化１丁目１４－２２桑の実会館　１Ｆ奥,,福井市指令生衛第24-4-388号,1/23/25,3/31/30
108,飲食店,社交飲食,,Ｂａｒ　ｊａｋｅ,910-0023,福井市順化１丁目１０―９ドリームタウン２Ｆ,,福井市指令生衛第20-2-845号,3/18/21,3/31/26
109,飲食店,社交飲食,,ＢＡＲ　ＪＵＧＯ,910-0023,福井市順化１丁目１６－１８片町ステーションビル２Ｆ,0776-29-1515,福井市指令生衛第21-1-23号,5/24/21,3/31/27
110,飲食店営業,その他,Ｂａｒ,ＢＡＲ　ＫＡＧＵＲＡＢＩ,910-0023,福井市順化２丁目１３－２０ナカムラビル２Ｆ奥,,福井市指令生衛第24-3-222号,9/6/24,4/30/30
111,飲食店,社交飲食,,Ｂａｒ　ＫＵＲＯＮＥ,910-0151,福井市栄町１６－１３,,福井市指令生衛第20-1-387号,1/13/21,9/30/26
112,飲食店,社交飲食,,ＢＡＲ　Ｌｅａｚｙ,910-0023,福井市順化１丁目１６―１８片町ステーションビル１Ｆ,0776-97-5850,福井市指令生衛第20-2-868号,2/9/21,3/31/26
113,飲食店営業,その他,バー,ＢＡＲ　ＬＥＧＡＬＩＳＳ,910-0023,福井市順化２丁目１２－６パークサイドビル４Ｆ,,福井市指令生衛第24-3-177号,8/5/24,4/30/30
114,飲食店,社交飲食,,Ｂａｒ　ＬＫ,910-0023,福井市順化１丁目１５―４リトルプラザ３Ｆ,0776-28-0530,福井市指令生衛第20-1-375号,12/21/20,3/31/26
115,飲食店,社交飲食,,ＢＡＲ　Ｌｏｕｉｓ,910-0023,福井市順化１丁目１５－５ブラボービル１Ｆ　１Ａ号室,0776-21-5928,福井市指令生衛第20-1-28号,4/27/20,3/31/26
116,飲食店営業,その他,バー,Ｂａｒ　Ｌｏｕｎｇｅ　Ｌｅｍｕｒｉａ,910-0023,福井市順化２丁目８－１４パークサイドタワー１階　Ｃ,,福井市指令生衛第24-3-196号,9/6/24,4/30/30
117,飲食店,社交飲食,,Ｂａｒ ｍｏＺ,910-0023,福井市順化１丁目６－７金津屋ビル２Ｆ,,福井市指令生衛第20-1-177号,7/31/20,3/31/26
118,飲食店営業,その他,バー,ＢＡＲ　ＮＡＦ－ＮＡＦ,910-0023,福井市順化２丁目２０－２エルミオーレビル１Ｆ,0776-25-7233,福井市指令生衛第21-4-629号,1/25/22,4/30/27
119,飲食店営業,その他,バー,ＢＡＲ　ＮＥＲＥＳ　ＰＡＮＴＲＹ　ｓｅａｓｏｎⅡ,910-0023,福井市順化２丁目２２－３ＴＭビル１Ｆ　１０１,0776-43-9606,福井市指令生衛第23-4-558号,4/16/24,4/30/29
120,飲食店営業,その他,バー,ＢＡＲ　ＰＡＰＩＬＬＯＮ,910-0023,福井市順化１丁目１７－８勝ビル１階,0776-63-5989,福井市指令生衛第23-3-239号,10/26/23,3/31/29
121,飲食店営業,その他,バー,Ｂａｒ　ｐｒｉｍｏ,910-0023,福井市順化１丁目１５－９片町スカイパレスビル３０５,0776-26-8686,福井市指令生衛第23-3-250号,11/9/23,3/31/29
122,飲食店営業,その他,ＢＡＲ,ＢＡＲ　ＲＡＭＯＮＥ,910-0023,福井市順化１丁目１７－１５オリエンタル５　３階３０１号室,,福井市指令生衛第23-4-428号,1/10/24,3/31/29
123,飲食店営業,その他,バー,ＢＡＲ　ＲＥＰＬＡＹ,910-0023,福井市順化１丁目２４－１９郡ビル３Ｆ,0776-50-6281,福井市指令生衛第24-4-415号,2/3/25,3/31/30
124,飲食店,社交飲食,,Ｂａｒ　Ｒｏｍａｎｃｅ,910-0023,福井市順化２丁目１５－１９セイコービル　１０２,0776-43-0019,福井市指令生衛第19-1-491号,3/4/20,4/30/25
125,飲食店営業,その他,Ｂａｒ,Ｂａｒ　ｒｙｕｗａｎ,910-0023,福井市順化２丁目２１－４加賀ビル１Ｆ　Ｅ号室,,福井市指令生衛第21-3-200号,11/29/21,4/30/27
126,飲食店,社交飲食,,Ｂａｒ　Ｓａｎｃｔｕａｒｙ,910-0023,福井市順化１丁目１０―１５サエラビル３階３０２,0776-24-7807,福井市指令生衛第20-1-296号,11/2/20,3/31/26
127,飲食店営業,その他,バー,Ｂａｒ　ＳＯＭＥＤＡＹ,910-0023,福井市順化２丁目２０－１３シャンティ片町１Ｆ　１０２,0776-25-4554,福井市指令生衛第22-4-390号,3/1/23,4/30/28
128,飲食店営業,その他,バー,ｂａｒ　ｓｏｕｌ　ｋｉｔｃｈｅｎ,910-0023,福井市順化１丁目１８－８開明ビル１０１号,0776-29-7572,福井市指令生衛第22-4-377号,3/13/23,3/31/28
129,飲食店営業,その他,バー,Ｂａｒ　ＳＴＥＬＡ,910-0023,福井市順化１丁目１５－９片町スカイパレスビル２階２０１,,福井市指令生衛第23-3-402号,2/19/24,3/31/29
130,飲食店営業,その他,バー,ＢＡＲ　Ｕｍ　Ｃａｌｖｏ,910-0023,福井市順化２丁目７－１８三栄ビル５Ｆ西,,福井市指令生衛第22-3-198号,1/23/23,4/30/28
131,飲食店営業,その他,バー,ＢＡＲ　ＵＴａ,910-0023,福井市順化１丁目１２－４第１福ビル２Ｆ　２０１号室,,福井市指令生衛第22-4-376号,1/26/23,3/31/28
132,飲食店営業,その他,バー,Ｂａｒ　Ｗａｖｖｙ,910-0023,福井市順化１丁目２１－５エレガンテ片町２Ｆ２０１号室,,福井市指令生衛第23-3-31号,6/5/23,3/31/29
133,飲食店営業,その他,Ｂａｒ,Ｂａｒ　Ｙ’,910-0023,福井市順化１丁目１２－１２シャングリラビル１Ｆ,0776-29-1830,福井市指令生衛第24-4-414号,2/4/25,3/31/30
134,飲食店営業,その他,バー,ＢＡＲ　しゅみじん,910-0023,福井市順化１丁目１８－７Ａｙｕビル３階　南側,0776-65-6813,福井市指令生衛第21-3-268号,1/27/22,3/31/27
135,飲食店営業,その他,バー,Ｂａｒ　たらふく,910-0023,福井市順化２丁目２６－２４なかやビル１Ｆ奥,,福井市指令生衛第23-3-101号,6/29/23,4/30/29
136,飲食店営業,その他,ＢＡＲ,ＢＡＲ　デジャブ,910-0023,福井市順化１丁目１４－２４ホワイトハウスビル　１Ｆ　１０１号,,福井市指令生衛第24-3-319号,11/28/24,3/31/30
137,飲食店,社交飲食,,Ｂａｒ　レッツゴーヤング,910-0023,福井市順化１丁目１０－９ドリームタウン２Ｆ,,福井市指令生衛第20-1-139号,8/31/20,3/31/26
138,飲食店営業,その他,バー,ＢＡＲ　寄安屋,910-0023,福井市順化１丁目１５－９スカイパレス　２Ｆ　２０６,0776-25-1999,福井市指令生衛第22-4-349号,12/16/22,3/31/28
139,飲食店営業,その他,ＢＡＲ,ＢＡＲ　九龍,910-0023,福井市順化１丁目１５－４リトルプラザ４Ｆ,0776-25-6292,福井市指令生衛第23-4-419号,1/9/24,3/31/29
140,飲食店,社交飲食,,ＢＡＲ　空（ＳＯＲＡ）,910-0023,福井市順化１丁目１９―１５片町ロフトビル地下１階,0776-28-5534,福井市指令生衛第20-2-889号,3/24/21,3/31/26
