No.,事業所番号,サービス種類名,事業所名,事業所郵便番号,事業所住所,事業所電話番号,申請者名,緯度,経度
24,1890100652,認知症対応型共同生活介護,グループホーム レインボー灯明寺,910-0062,福井市灯明寺59字12番地1,0776-23-3060,社会福祉法人 福井康久会,36.090623,136.221824
25,1890100678,認知症対応型共同生活介護,グループホーム あさむつの森,918-8156,福井市引目町21－9－2,0776-38-9285,社会福祉法人 新清会,36.022468,136.197299
26,1890100702,認知症対応型共同生活介護,グループホーム美山,910-2351,福井市美山町6－1,0776-90-3330,社会福祉法人 足羽福祉会,35.998928,136.361338
27,1890100736,認知症対応型共同生活介護,いちご 和えの里,910-0856,福井市勝見3丁目20-12 いちごの森 1階,0776-27-0015,医療法人 健康会,36.053626,136.233765
28,1890100744,認知症対応型共同生活介護,グループホーム翠,918-8221,福井市堅達町24-1,0776-53-2586,社会福祉法人 慈豊会,36.074986,136.271240
29,1890100769,認知症対応型共同生活介護,認知症対応型共同生活介護事業所 やよいの森,918-8021,福井市門前1丁目120番地,0776-34-5112,社会福祉法人 弥生福祉会,36.051398,136.194491
30,1890100777,認知症対応型共同生活介護,グループホーム 和,918-8055,福井市若杉町25-18-1,0776-34-5595,有限会社 癒森会,36.059373,136.183422
31,1890100835,認知症対応型共同生活介護,グループホームあたご,918-8007,福井市足羽5丁目5番17号,0776-33-7081,社会福祉法人 あすなろ会,36.057919,136.198280
32,1890100926,認知症対応型共同生活介護,ほのかな家,910-0033,福井市三郎丸2丁目812番地,0776-97-5277,有限会社 ケア・ユニット,36.077373,136.190284
33,1890100942,認知症対応型共同生活介護,グループホーム 桜手苑,910-0005,福井市大手2丁目22-18,0776-26-7070,社会福祉法人 新清会,36.066484,136.223496
34,1870103262,認知症対応型共同生活介護,グループホーム楽ちんの家　笑楽,910-2213,福井市大久保町1－61,0776-96-7080,一般社団法人　イージーケアネット福井,36.020117,136.334460
35,1890101254,認知症対応型共同生活介護,グループホーム匠サテライト,918-8537,福井市下六条町217番地9,0776-43-6810,医療法人　厚生会,36.036927,136.233626
36,1890100231,認知症対応型共同生活介護,グループホーム　花むつ,918-8014,福井市花堂中１丁目５番６号,0776-34-8762,社会福祉法人　新清会,36.038960,136.215481
37,1890101288,認知症対応型共同生活介護,グループホーム翠Ⅱ,918-8221,福井県福井市堅達町24-1,0776-53-2586,社会福祉法人 慈豊会,36.074711,136.271371
38,1850180025,介護予防認知症対応型共同生活介護,グループホームけんとく,910-0021,福井市乾徳4－4－18,0776-30-5100,医療法人 穂仁会,36.071906,136.205766
39,1870100896,介護予防認知症対応型共同生活介護,すのうどろっぷ　ｈｏｐｅ,918-8237,福井市和田東2－601,0776-43-9097,社会福祉法人 すのうどろっぷ,36.051281,136.247662
40,1870100953,介護予防認知症対応型共同生活介護,冨永グループホーム,918-8004,福井市西木田3丁目5番13号,0776-36-1851,医療法人 冨永病院,36.054113,136.211874
41,1870101118,介護予防認知症対応型共同生活介護,グループホーム レインボー２１,910-0804,福井市高木中央3丁目1601番地,0776-57-2800,社会福祉法人 福井康久会,36.091116,136.240113
42,1870101431,介護予防認知症対応型共同生活介護,グループホーム うらら,918-8105,福井市木田1－3308,0776-33-2555,医療法人 雄久会,36.047027,136.226619
43,1890100116,介護予防認知症対応型共同生活介護,グループホームらくや,910-0134,福井市上野本町１丁目3912,0776-56-8808,社会福祉法人　向陽会,36.110630,136.235452
44,1890100140,介護予防認知症対応型共同生活介護,グループホーム ゆうなぎ,910-3402,福井市鮎川町第91号37番地,0776-88-2440,社会福祉法人 国見慈光会,36.091061,136.032817
45,1890100199,介護予防認知症対応型共同生活介護,幸の家,910-3378,福井市免鳥町第22号70番地,0776-86-1855,社会福祉法人 鷹山会,36.131377,136.075088
46,1890100207,介護予防認知症対応型共同生活介護,グループホームしみず,910-3602,福井市竹生町32－48,0776-98-7890,株式会社 仁愛ケアサービス,36.048103,136.157111
47,1890100280,介護予防認知症対応型共同生活介護,グループホームあさくら,918-8135,福井市下六条町18字37番,0776-41-8408,社会福祉法人 一乗谷友愛会,36.035131,136.228546
48,1890100298,介護予防認知症対応型共同生活介護,田園,918-8076,福井市本堂町51字38番地－1,0776-37-0123,社会福祉法人 安居福祉会,36.056751,136.127428
49,1890100306,介護予防認知症対応型共同生活介護,あさくらの家 東郷,910-2165,福井市東郷二ケ町6字2-1,0776-41-8500,社会福祉法人 一乗谷友愛会,36.019282,136.265185
50,1890100355,介護予防認知症対応型共同生活介護,グループホーム匠,910-0062,福井市灯明寺4丁目1706番地,0776-28-3232,医療法人 厚生会,36.096701,136.208603
51,1890100363,介護予防認知症対応型共同生活介護,グループホームあそうづ,918-8183,福井市浅水三ケ町1字29－2,0776-50-1165,社会福祉法人 白山会,36.004344,136.204398
52,1890100413,介護予防認知症対応型共同生活介護,グループホーム 宝珠の郷,910-3116,福井市内山梨子町3－46,0776-83-0800,社会福祉法人 福聚会,36.134008,136.157429
53,1890100421,介護予防認知症対応型共同生活介護,いちご 月見の里,918-8011,福井市月見4丁目20－47,0776-34-5515,医療法人 健康会,36.045367,136.204578
54,1890100439,介護予防認知症対応型共同生活介護,グループホームふじしま,910-0804,福井市高木中央3丁目1701番地,0776-52-1166,社会福祉法人 藤島会,36.092131,136.240369
55,1890100447,介護予防認知症対応型共同生活介護,グループホーム楓,910-0016,福井市大宮4丁目13番1号,0776-25-0042,メイプルケア 有限会社,36.082014,136.208080
56,1890100553,介護予防認知症対応型共同生活介護,二の丸苑 グループホーム,910-0005,福井市大手2丁目21番3号,0776-26-2020,社会福祉法人 新清会,36.066618,136.222874
57,1890100611,介護予防認知症対応型共同生活介護,愛全園グループホーム,910-0835,福井市丸山町40－7,0776-53-5411,社会福祉法人 足羽福祉会,36.077608,136.251489
58,1890100629,介護予防認知症対応型共同生活介護,県民せいきょう岡保きらめきグループホーム,918-8234,福井市曽万布町7－18－1,0776-52-0840,福井県民生活協同組合,36.042532,136.260887
59,1890100637,介護予防認知症対応型共同生活介護,グループホーム たぶのき,910-0001,福井市大願寺3丁目3－6,0776-27-3940,社会福祉法人 福井ゆうあい会,36.081664,136.228142
60,1890100652,介護予防認知症対応型共同生活介護,グループホーム レインボー灯明寺,910-0062,福井市灯明寺59字12番地1,0776-23-3060,社会福祉法人 福井康久会,36.090623,136.221824
61,1890100678,介護予防認知症対応型共同生活介護,グループホーム あさむつの森,918-8156,福井市引目町21－9－2,0776-38-9285,社会福祉法人 新清会,36.022468,136.197299
62,1890100702,介護予防認知症対応型共同生活介護,グループホーム美山,910-2351,福井市美山町6－1,0776-90-3330,社会福祉法人足羽福祉会,35.998928,136.361338
63,1890100736,介護予防認知症対応型共同生活介護,いちご 和えの里,910-0856,福井市勝見3丁目20-12 いちごの森 1階,0776-27-0015,医療法人 健康会,36.053626,136.233765
64,1890100744,介護予防認知症対応型共同生活介護,グループホーム翠,918-8221,福井市堅達町24-1,0776-53-2586,社会福祉法人 慈豊会,36.074986,136.271240
65,1890100769,介護予防認知症対応型共同生活介護,認知症対応型共同生活介護事業所 やよいの森,918-8021,福井市門前1丁目120番地,0776-34-5112,社会福祉法人 弥生福祉会,36.051398,136.194491
66,1890100777,介護予防認知症対応型共同生活介護,グループホーム 和,918-8055,福井市若杉町25-18-1,0776-34-5595,有限会社 癒森会,36.059373,136.183422
67,1890100835,介護予防認知症対応型共同生活介護,グループホームあたご,918-8007,福井市足羽5丁目5番17号,0776-33-7081,社会福祉法人 あすなろ会,36.057919,136.198280
68,1890100926,介護予防認知症対応型共同生活介護,ほのかな家,910-0033,福井市三郎丸2丁目812番地,0776-97-5277,有限会社 ケア・ユニット,36.077373,136.190284
69,1890100942,介護予防認知症対応型共同生活介護,グループホーム 桜手苑,910-0005,福井市大手2丁目22-18,0776-26-7070,社会福祉法人 新清会,36.066484,136.223496
70,1870103262,介護予防認知症対応型共同生活介護,グループホーム楽ちんの家　笑楽,910-2213,福井市大久保町1－61,0776-96-7080,一般社団法人　イージーケアネット福井,36.020117,136.334460
71,1890101254,介護予防認知症対応型共同生活介護,グループホーム匠サテライト,918-8537,福井市下六条町217番地9,0776-43-6810,医療法人　厚生会,36.036927,136.233626
72,1890100231,介護予防認知症対応型共同生活介護,グループホーム　花むつ,918-8014,福井市花堂中１丁目５番６号,0776-34-8762,社会福祉法人　新清会,36.038960,136.215481
73,1890101288,介護予防認知症対応型共同生活介護,グループホーム翠Ⅱ,918-8221,福井県福井市堅達町24-1,0776-53-2586,社会福祉法人 慈豊会,36.074711,136.271371
