No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
16,虹の会福祉事業所,文京５丁目２７－３２,(０７７６)２７－２６２１,(０７７６)２７－２６３１,●,●,,社会福祉法人　虹の会,36.078351,136.205177
17,"若越ひかりの村　
就労系多機能型事業所　なないろ",島寺町６７－３０,(０７７６)９８－３６００,(０７７６)９８－３６４２,,●,,社会福祉法人　ふくい福祉事業団,36.018715,136.140336
18,セルプうらら,学園３丁目７－５,(０７７６)４３－１７５０,(０７７６)４３－１７５１,●,●,●,社会福祉法人　福井県セルプ,36.068388,136.194497
19,支援センターきらく,松本３丁目４－４,(０７７６)２７－０２２３,(０７７６)２７－０２８０,●,●,●,株式会社　きらく,36.070985,136.222389
20,えばた工房,江端町２０－１－３,(０７７６)４３－１３６１,(０７７６)３８－４４７１,,,●,社会福祉法人　六条厚生会,36.026026,136.212873
21,株式会社　ふくい福祉振興会,和田東１－２３２３,(０７７６)６０－００２５,(０７７６)６０－００３０,●,●,●,株式会社　ふくい福祉振興会,36.051913,136.245976
22,ワークハウス　らしく,松本１丁目５６－５,(０７７６)５０－７４８３,(０７７６)５０－７４８４,●,●,●,有限会社　ワークハウス,36.076062,136.231967
23,タクティクス福井　福井南営業所,みのり１丁目２４番３５号,(０７７６)４３－９３２０,(０７７６)４３－９３７０,●,●,●,一般社団法人　タクティクス福井,36.051804,136.215215
24,ラートハウス,大手３丁目１０－１　福井市庁舎本館　地下１階,(０７７６)９７－９９２８,(０７７６)９７－９９２８,●,●,●,特定非営利活動法人　ハートランド福井,36.064078,136.219568
25,ライフワークゆずり葉,灯明寺２丁目２０８,(０７７６)２９－７０５４,(０７７６)２９－７０５４,●,●,●,合同会社　アクティブサポート,36.092665,136.212293
26,前進主義　ふくい,菅谷１－５－１６,(０７７６)２６－３３３５,(０７７６)２６－３３３４,●,●,●,株式会社　スタンドトゥギャザー,36.0719,136.19324
27,ＣＲＥＰＥ　ＤＥ　ＧＩＲＡＦＥ,板垣５丁目１００９番地,(０７７６)９７－５７０７,(０７７６)９７－５７０７,●,●,●,合同会社　プレシュー,36.044404,136.231892
28,有限会社　Ｃ・ネットサービス　,下河北町１１－１５－１,(０７７６)３８－５７５７,(０７７６)３８－５７６０,●,●,●,有限会社　Ｃ・ネットサービス　,36.019834,136.215346
29,丹南事業所,島寺町９２,(０７７６)９８－２９１０,(０７７６)９８－２９５５,,,●,社会福祉法人　つぐみ福祉会,36.020726,136.140098
30,ＭＩＲＡＩ．,木田３丁目３１１３－２,(０７７６)６３－６８５９,(０７７６)６３－６６４９,,●,●,一般社団法人　今ここ,36.0403,136.226645
31,株式会社　水野製作所,市波町１７号１２番地,(０７７６)９６－４２１７,(０７７６)９６－４９２６,●,●,●,株式会社　水野製作所,36.020173,136.326246
32,株式会社　ふくい福祉振興会ＴＯＮＡＲＩ,和田東１－２３２２,(０７７６)５０－２５０３,(０７７６)５０－２５０４,●,●,●,株式会社　ふくい福祉振興会,36.052026,136.246122
33,わーくｏｎここね,加茂緑苑町４１１番地,(０７７６)３２－６７７５,(０７７６)３２－６７７６,●,●,●,ベルシンフォニ合同会社,36.054185,136.191785
34,株式会社　ＹＯＵさぽーと,和田中１丁目７０９番地,(０７７６)２７－４７３１,(０７７６)２７－４７３２,●,●,●,株式会社　ＹＯＵさぽーと,36.047111,136.245804
35,タクティクス福井　福井西営業所,加茂緑苑町８１７,(０７７６)４３－６９８２,(０７７６)４３－６９８４,●,●,●,一般社団法人　タクティクス福井,36.05187,136.192906
36,多機能型事業所プラス,下馬３丁目８０５,(０７７６)５０－７３４４,(０７７６)５０－７３４５,●,●,●,一般社団法人　プラス,36.039068,136.232291
37,食の工房やわらぎ,下六条町２１７－４,(０７７６)４１－４０６０,,,,●,社会福祉法人　六条厚生会,36.036644,136.234031
38,平谷こども発達クリニック　社事業所はぐくみ,江守の里２丁目１１８番地,(０７７６)６３－５２６５,(０７７６)６３－５２６５,●,●,●,医療法人　平谷こども発達クリニック,36.029019,136.180688
39,ネクストステップ,和田東１丁目２２１　サン・ボニール１０１,(０７７６)５０－２９６７,(０７７６)５０－２９６７,●,●,●,一般社団法人　Ｂｅａｎｓ,36.054679,136.246206
40,タクティクス福井　福井北営業所,田原２丁目５－１１,(０７７６)５０－６７２５,(０７７６)５０－６７５２,●,●,●,一般社団法人　タクティクス福井,36.071353,136.212765
41,インテグラルワークカレッジ,西開発２丁目４０７番,(０７７６)５０－２１２０,(０７７６)５０－２１５２,,●,●,株式会社インテグラルウェルフェア,36.078735,136.235536
42,ジョブトライ・厚生,下六条町２１７番９,(０７７６)４１－８０２１,(０７７６)４１－８０４７,●,●,●,医療法人　厚生会,36.037096,136.233691
43,いろは,大手２丁目３番１号三の丸ビル１階,(０７７６)２５－３０５１,(０７７６)２５－３０５２,●,●,●,合同会社　ＷＩＮＧＲＯＷ,36.064188,136.224036
44,ＦＬＡＰ,中央１丁目２１－３７リベラルアーツ３階３０２,(０７７６)６３－５３４１,(０７７６)６３－５３４２,●,●,●,一般社団法人　タクティクス福井,36.060485,136.220153
45,フィール,問屋町４丁目５０６,(０７７６)８９－１５６０,(０７７６)８９－１５３４,●,●,●,一般社団法人　ライフトレーニング,36.05284,136.256213
46,ネクステクノフレーム,高木中央２丁目７０４ウエストビル１－A,(０７７６)５０－７４５３,(０７７６)５０－７４５４,●,●,●,ネクスタス　株式会社,36.093178,136.234001
47,就労支援事業所cycle,運動公園３丁目１３０８,(０７７６)５０－７６８９,,●,●,●,株式会社この道グループ,36.053641,136.177554
48,ワンダーフレンズ福井,高木中央３丁目４０６,(０７７６)５０－７５９６,(０７７６)５０－７５９７,●,●,●,株式会社ワンダーフレンズ,36.088479,136.241366
49,前進主義AOSSA,手寄１丁目４－１AOSSA2階,０５０－３５０１－７４４０,,●,●,●,株式会社　スタンドトゥギャザー,36.060597,136.223467
50,株式会社COCOKARA　B型事業所,新田塚２丁目３２番１３号,(０７７６)２１－０５５６,,●,●,●,株式会社COCOKARA,36.089238,136.204236
51,山崎金属ベア,宝永２丁目１１番２３号,(０７７６)４３－９５３０,(０７７６)４３－９４６０,,●,●,株式会社山崎金属,36.069901,136.226251
